Start	End	Direction
2768	5607	1
2768	5589	1
2768	7006	1
10672	9138	1
10672	4217	1
10672	998	1
10672	23566	0
10672	2792	0
10672	2185	1
10672	10160	1
10672	5962	1
2769	1605	1
2769	23236	1
23566	4878	1
23566	7052	0
2876	2937	1
2908	51655	0
2908	1843	1
2908	5290	1
2885	867	1
2885	5595	1
2885	2549	1
2885	27040	0
2885	4233	0
2885	4914	0
2885	5156	0
2885	5335	1
2885	2185	0
2885	5879	1
2885	5923	0
2885	6464	1
2885	6464	0
2885	5781	0
2885	6654	1
2885	6654	0
2885	10252	1
2885	10252	0
2885	7410	1
2885	8936	1
2885	10603	0
2885	1759	1
2885	5786	-1
2885	85021	0
2885	10657	1
2885	30011	0
2885	203068	0
2885	10870	0
2885	1	1
2885	3937	0
51655	6722	0
9687	5174	0
7088	4089	0
7088	3172	1
7088	3172	0
7088	51176	1
2937	0	1
2931	8312	1
2931	3725	-1
2931	1385	1
2931	1499	-1
2931	4286	1
2931	4772	-1
2931	5663	-1
2931	4137	-1
2931	64682	1
2931	23401	0
2931	5055	1
2931	8894	-1
2932	207	1
2932	8312	1
2932	595	-1
2932	1499	1
2932	1965	-1
2932	2931	1
2932	6608	-1
2932	4137	1
2936	0	1
0	2937	1
92170	1730	1
92170	0	1
92170	5604	1
92170	4214	1
92170	2644	1
92170	6198	1
92170	5058	1
92170	5334	1
92170	5337	1
92170	23647	1
92170	5894	1
92170	5901	1
92170	5901	0
92170	5879	-1
92170	5879	1
92170	5879	0
92170	387	1
92170	6093	1
92170	55811	0
92170	8936	1
92170	10163	1
92170	10810	1
92170	107	0
2792	5595	-1
2792	5595	1
2792	5594	1
2792	175	1
2792	2782	1
2792	3672	1
2792	4214	1
2792	23236	0
2792	5335	1
2792	5879	1
2792	5879	0
2792	8720	1
2792	6464	1
3002	637	1
3002	842	-1
3002	842	1
3002	51447	0
3002	5864	1
3009	3148	0
0	581	1
0	0	1
9421	9464	0
10542	0	-1
10542	0	1
10542	842	-1
10542	2185	1
9734	7088	1
9734	5925	0
9734	51176	1
3065	3066	0
3065	4209	0
3065	6615	-1
3066	4209	0
3066	25942	0
3066	9612	0
3066	9541	0
8841	2033	1
8841	9612	0
8841	9611	0
10014	4205	0
3082	4233	0
3091	637	-1
3091	4193	0
3091	8874	1
3091	664	1
3091	665	1
3091	5366	1
3146	3148	0
3146	7153	0
3148	8125	0
3148	6418	0
6767	6722	0
27102	1965	-1
3315	836	-1
3315	1616	-1
3315	5174	0
3315	1329	-1
3337	3308	0
3337	4193	-1
3337	7314	1
3337	3309	0
3337	3921	0
3308	317	-1
3308	3320	0
3308	3459	0
3308	3717	0
3308	9093	0
3308	9131	-1
3320	196	1
3320	317	-1
3320	332	1
3320	4846	0
3320	5465	0
3320	5728	1
3320	9049	0
5688	8544	1
5688	8936	0
5688	10163	0
5688	10810	0
3364	545	1
3364	5810	0
3364	5883	0
0	207	-1
0	1994	1
0	7157	1
248	842	-1
29851	1455	-1
1676	790	-1
1676	790	1
1676	8737	0
1676	7132	0
1676	8717	0
1676	1677	-1
8837	841	-1
8837	8772	-1
8837	8772	1
3458	3459	1
3458	3459	0
3458	3717	1
3459	3308	1
3459	3716	1
3459	3717	1
3459	3717	0
3459	9093	1
3459	9093	0
3459	30851	1
3479	3480	1
3479	3480	0
3480	207	1
3480	5535	1
3480	8536	1
3480	5595	1
3480	5594	1
3480	3667	1
3480	4772	1
3480	5290	1
3480	5578	1
3480	6464	1
3480	7410	1
3480	408	1
3480	2887	1
3480	23365	0
4792	3558	-1
4792	3558	1
4792	3565	-1
4792	3565	1
4792	4790	-1
4792	4790	1
4792	4790	0
4792	8874	0
4792	55566	0
4792	50818	1
4792	5970	1
4792	5970	0
4792	7314	0
4793	0	1
4793	4790	-1
3551	4792	1
3551	1147	0
3551	8517	0
3551	4214	0
3551	4790	1
3551	9020	0
1147	4792	1
1147	8517	0
1147	4214	0
1147	4790	1
1147	9020	0
8517	4792	1
8517	4790	1
