Start	End	Direction
329	8717	0
329	8767	0
329	27429	0
330	836	0
330	840	0
330	842	0
330	2935	0
330	7185	0
330	7186	0
330	56616	0
331	836	0
331	840	0
331	842	0
331	2935	0
331	6885	0
331	7189	0
331	9500	0
331	10454	0
331	23118	0
331	27429	0
331	54739	0
331	55093	0
331	55437	0
331	56616	0
331	140735	0
331	150684	0
332	836	0
332	840	0
332	842	0
332	983	0
332	1019	0
332	3619	0
332	56616	0
333	1031	0
333	1600	0
333	2948	0
333	3117	0
333	3336	0
333	4666	0
333	4860	0
333	6303	0
333	6811	0
333	6943	0
333	7083	0
333	7572	0
333	8848	0
333	8894	0
333	10200	0
333	10813	0
333	19241	0
333	54544	0
333	55274	0
333	56144	0
333	114034	0
334	1600	0
334	10307	0
334	57473	0
335	506	0
335	949	0
335	1071	0
335	3078	0
335	3250	0
335	3931	0
335	5110	0
335	8542	0
335	8794	0
335	9804	0
335	55700	0
336	341	0
336	347	0
336	720	0
336	5360	0
337	2822	0
338	633	0
338	811	0
338	821	0
338	3303	0
338	3309	0
338	3320	0
338	3949	0
338	3990	0
338	4036	0
338	4547	0
338	5479	0
338	7184	0
338	9601	0
338	10952	0
339	9530	0
339	10659	0
339	10930	0
339	29974	0
339	51726	0
344	4023	0
347	3953	0
347	81488	0
348	949	0
348	1270	0
348	1508	0
348	3949	0
348	4035	0
348	4036	0
348	4133	0
348	4137	0
348	4741	0
348	5360	0
348	6383	0
348	7436	0
348	7804	0
350	2161	0
350	4036	0
350	7804	0
351	633	0
351	642	0
351	811	0
351	841	0
351	857	0
351	1278	0
351	1282	0
351	1284	0
351	1285	0
351	1287	0
351	1288	0
351	1504	0
351	1600	0
351	2161	0
351	2192	0
351	2597	0
351	2934	0
351	3028	0
351	3032	0
351	3163	0
351	3339	0
351	3416	0
351	3827	0
351	3831	0
351	4035	0
351	4811	0
351	5644	0
351	5646	0
351	5663	0
351	6464	0
351	6622	0
351	7040	0
351	7042	0
351	8650	0
351	8883	0
351	9479	0
351	9546	0
351	10134	0
351	10307	0
351	10513	0
351	10524	0
351	22883	0
351	23385	0
351	84570	0
354	2057	0
354	2335	0
354	3486	0
354	5104	0
354	5858	0
355	356	0
355	695	0
355	841	0
355	843	0
355	1400	0
355	1616	0
355	1915	0
355	2534	0
355	3932	0
355	5783	0
355	7329	0
355	7341	0
355	8717	0
355	8737	0
355	8772	0
355	9994	0
355	10016	0
355	10114	0
355	11124	0
355	11161	0
355	23017	0
355	55791	0
355	85302	0
355	407977	0
356	1616	0
356	1756	0
356	2335	0
356	2534	0
356	2885	0
356	3932	0
356	4297	0
356	4316	0
356	4687	0
356	4690	0
356	5295	0
356	5783	0
356	6714	0
356	7341	0
356	7430	0
356	8771	0
356	9402	0
356	10016	0
356	10750	0
356	11252	0
356	23048	0
358	4188	0
358	7205	0
358	11007	0
358	30008	0
358	79734	0
358	83755	0
360	5338	0
362	4188	0
367	573	0
367	595	0
367	672	0
367	811	0
367	834	0
367	836	0
367	840	0
367	841	0
367	857	0
367	898	0
367	994	0
367	1329	0
367	1387	0
367	1499	0
367	2099	0
367	2274	0
367	2308	0
367	2316	0
367	2597	0
367	2908	0
367	2934	0
367	2962	0
367	2963	0
367	2965	0
367	3065	0
367	3146	0
367	3169	0
367	3320	0
367	3416	0
367	3725	0
367	4088	0
367	4089	0
367	4790	0
367	4841	0
367	5451	0
367	5469	0
367	5881	0
367	5883	0
367	5894	0
367	5901	0
367	5925	0
367	5970	0
367	6047	0
367	6736	0
367	6774	0
367	6840	0
367	6925	0
367	7041	0
367	7181	0
367	7182	0
367	7251	0
367	7818	0
367	8031	0
367	8202	0
367	8409	0
367	8431	0
367	8648	0
367	8805	0
367	9063	0
367	9282	0
367	9604	0
367	9611	0
367	9733	0
367	10048	0
367	10399	0
367	10499	0
367	10514	0
367	10524	0
367	11140	0
367	11143	0
367	11188	0
367	24148	0
367	25898	0
367	27043	0
367	51588	0
367	56924	0
367	64324	0
368	7414	0
369	445	0
369	1460	0
369	2202	0
369	5295	0
369	5604	0
369	5605	0
369	6237	0
369	8533	0
369	10469	0
369	24148	0
369	51497	0
369	55872	0
369	59349	0
372	1314	0
372	1315	0
372	9276	0
372	22820	0
372	26958	0
373	2669	0
373	7536	0
373	9266	0
373	9267	0
373	9883	0
373	23062	0
373	26150	0
373	51545	0
373	58500	0
373	79173	0
373	80308	0
373	84708	0
374	896	0
374	1956	0
374	4318	0
375	1131	0
375	1315	0
375	1937	0
375	4194	0
375	5337	0
375	5338	0
375	5898	0
375	7094	0
375	8394	0
375	8853	0
375	8943	0
375	9179	0
375	9266	0
375	9267	0
375	9463	0
375	10945	0
375	11316	0
375	22820	0
375	23163	0
375	23431	0
375	23647	0
375	27236	0
375	51729	0
375	55738	0
375	84273	0
375	84725	0
377	9463	0
377	9493	0
377	23062	0
377	23647	0
377	27236	0
378	1956	0
379	1967	0
379	2058	0
379	3301	0
379	5223	0
